X,Y
13343001.800905338,963568.499778708
12600611.311148977,977669.5022144939
13408385.586632483,986130.1036759656
-6912040.559584226,988950.3041631229
-13355658.74456936,988950.3041631229
12961243.476999046,999291.0392826992
-4058728.926270961,1010571.841231328
-6679350.991064783,1016212.2422056424
12662406.846765572,1030313.2446414285
-6840556.117184222,1033133.4451285853
-6923527.574037672,1040653.9797610047
-6803420.19829944,1045354.3139062666
-6949765.250551711,1058515.2495130002
-4220269.705351515,1086717.2543845722
-6724094.547417628,1095177.8558460437
-6985075.860949743,1115859.3260851963
-13240689.016339421,1128080.1948628777
-12629453.815875614,1138420.929982454
-6863976.44046606,1156282.1997344496
-14178282.587901624,1161922.6007087638
-14779331.22014564,1189184.5387512837
-6771496.393263019,1219266.6772809604
-13823883.804446455,1270030.2860497897
-4617266.508924039,1278490.8875112613
11290869.233272146,1286951.488972733
-4623333.11583582,1289771.6894598904
11472014.232863687,1323614.0953057767
-2710006.245729085,1372497.570416501
11156494.43039777,1373437.6372455535
-15634933.801404877,1380958.1718779725
-9872110.462646479,1443002.582595431
-6997167.840395115,1453343.3177150076
-10959926.534651194,1461803.9191764789
-6466775.549985021,1552990.4015945615
-5016785.733925605,1580252.339637081
-6661011.943408865,1633836.1488930678
-6217535.918575169,1662038.15376464
-4411054.331058066,1689300.091807159
13382667.25649053,1736303.4332597791
13029866.602391541,1738183.5669178837
-7081077.292911464,1741003.767405041
12802181.058804652,1742883.901063146
10294913.411781456,1778606.4405671374
10391005.939703668,1789887.2425157656
-7167487.598734513,1792707.443002923
10252296.050019555,1812448.8464130238
10298699.678484315,1826549.8488488093
-5002420.795498454,1856631.9873784862
-6931856.407349891,1868852.856156167
-7073935.011794405,1878253.5244466914
-5955224.329562296,1901755.1951730011
10168226.701950544,1936537.66784794
9893669.477375058,1943118.135651307
-4016921.669153218,1960979.4054033023
11160790.636611601,1971320.1405228784
-4093929.3323831763,1976020.4746681408
10040631.075721147,1985421.142958665
-6571747.356081403,1988241.343445822
-7152721.0088325525,1990121.477103927
-6369334.915511598,1992001.6107620315
-6336548.702751889,1995761.8780782411
-3673643.904607334,1999522.1453944505
-10208843.494492564,2013623.1478302367
-10263015.907161556,2023023.8161207605
9972644.092202725,2056866.2219666468
-4992167.210179358,2065326.8234281184
10090993.279946275,2082248.0263510616
-3371364.907457603,2094468.8951287433
-3313987.8489172882,2094468.8951287433
-7331095.856960963,2096349.0287868478
-7107146.703037136,2096349.0287868478
-5381949.753122901,2099169.2292740047
-3387768.6729385243,2117030.4990260005
-5702321.506111592,2117970.565855053
-3324763.832823393,2118910.632684105
-2745297.5148629146,2127371.2341455766
-6859561.274200191,2135831.8356070486
-5901651.695737942,2143352.370239468
-5589008.958947707,2144292.4370685196
-3854176.7973372485,2145232.5038975724
-3351988.443154884,2164033.8404786205
-3409303.1931481557,2164033.8404786205
-7153143.624159016,2164973.907307673
11795826.647046948,2173434.5087691443
-3395801.289043195,2174374.5755981966
-6474185.340534784,2178134.842914406
-6708849.810545032,2187535.5112049305
-3126958.2331846324,2190355.7116920874
-5975326.670856363,2195056.0458373497
-3075809.2020656443,2196936.1794954543
-3080861.7004659795,2225138.1843670267
-5819931.3745398335,2226078.251196079
-5502914.206953365,2228898.4516832363
-5867788.029111742,2237359.0531447073
-2706699.769549485,2269321.325332489
-3747641.574107993,2284362.3945973273
-10182095.28916227,2299403.463862166
-8821592.476270309,2299403.463862166
-2944126.1253912733,2301283.597520271
-9523687.51273976,2321025.0009303708
-2894199.2955642245,2340766.404340471
-7642773.560727538,2341706.4711695234
-4356891.594240061,2353927.3399472046
-2621648.2775726537,2354867.4067762573
-6830600.945077148,2366148.208724886
-8722451.76618884,2375548.87701541
-3657860.528823183,2376488.9438444623
-6173093.10055206,2380249.211160672
-8712858.011515463,2384009.4784768815
-7518168.635848594,2384949.545305934
-2853862.9653194924,2391530.0131093008
-6275815.102833848,2392470.0799383526
9809604.337332675,2400930.6813998246
-5973183.270585136,2406571.082374139
10096508.01316673,2413151.5501775057
11946212.215945892,2424432.3521261346
-2824091.6320564887,2451694.2901686537
-5357584.379478701,2460154.8916301257
-6605124.037660961,2464855.2257753876
-7079432.667500704,2466735.359433492
-9184227.206757095,2484596.629185488
-6402770.098370821,2488356.8965016976
-3977867.60539661,2498697.631621274
-6346119.358047465,2524079.4360056887
-6813788.28618276,2530659.9038090557
-6608627.714230973,2555101.641364418
-5932776.841618924,2603985.1164751425
-2688981.8423411683,2611505.6511075622
